506,5;413;6745
508;413;6746
507;413,5;6747
506;414;6748
506;414,5;6749
507;418;6750
506;419;6751
506,5;421;6752
507,5;423,5;6753
506,5;426;6754
507;427;6755
506;428,5;6756
506;428;6757
505;429,5;6758
505,5;428,5;6759
506;427;6760
505;428,5;6761
504,5;430;6762
506;431;6763
504;429,5;6764
503;430;6765
503;428,5;6766
502,5;427,5;6767
504,5;424;6768
504,5;423,5;6769
505,5;422,5;6770
504;422,5;6771
504;423,5;6772
505,5;421;6773
504,5;419,5;6774
504,5;421,5;6775
506,5;422,5;6776
507,5;421;6777
506,5;421,5;6778
506,5;424,5;6779
507;429,5;6780
506,5;432;6781
507;435;6783
506,5;435,5;6784
506,5;438;6785
505,5;439,5;6786
507;438,5;6787
507;439,5;6788
507,5;440;6789
507,5;440;6790
503,5;438,5;6791
506,5;439;6792
506,5;437;6793
505,5;436;6794
505,5;433;6795
507;430;6796
507,5;429;6797
507,5;428;6798
507,5;431;6799
508,5;431;6800
506,5;431;6801
505;434;6802
505,5;435;6803
504;436;6804
506;434;6805
504,5;434,5;6806
505,5;433;6807
504;431,5;6808
503,5;430;6809
504;427,5;6810
506;425,5;6811
505,5;424,5;6812
505;424;6813
504;423,5;6814
503,5;424;6815
502,5;424,5;6816
502,5;426,5;6817
502;427,5;6818
502,5;427;6819
500,5;428;6820
500;428,5;6821
499;430,5;6822
498;429,5;6823
497,5;430;6824
498;429,5;6825
498,5;426,5;6826
498;426,5;6827
497;425,5;6828
496,5;426;6829
497,5;425,5;6830
495;425,5;6831
494,5;426;6832
494;425,5;6833
494,5;426,5;6834
493;427;6835
491,5;429,5;6836
490,5;430,5;6837
493;433,5;6838
490,5;436,5;6839
490;438,5;6840
488;440;6841
487,5;439,5;6842
488;443,5;6843
486;443,5;6844
485;444,5;6845
483;444,5;6846
481,5;447;6847
482;446,5;6848
481;442,5;6849
481;442,5;6850
478;440,5;6851
476;437,5;6852
474;437,5;6853
474;435;6854
475;431;6855
474;427,5;6856
473,5;427;6857
473;424;6858
471,5;424,5;6859
473,5;425;6860
471;425;6861
469;424;6862
468;427,5;6863
468;429;6864
466,5;433;6865
465;436;6866
463,5;438,5;6867
460,5;443;6868
461;446,5;6869
459;448,5;6870
456,5;451,5;6871
455,5;453,5;6872
450;456;6873
447,5;456,5;6874
442,5;455,5;6875
444,5;455;6876
442;451,5;6877
440;446,5;6878
438;443,5;6879
437,5;438,5;6880
438;433,5;6881
437;428,5;6882
436;427;6883
434;425;6884
432,5;426;6885
430;429,5;6886
429;433;6887
427;436;6888
424;441;6889
420;444;6890
418;448,5;6891
415;451;6892
412;454,5;6893
407,5;455;6894
405,5;455;6895
404;454,5;6896
402;455,5;6897
397,5;453,5;6898
395;451,5;6899
392,5;449;6900
390;449,5;6901
386,5;450;6902
383;448,5;6903
381,5;446;6904
376,5;445,5;6905
373;449,5;6906
369;447,5;6907
364,5;448,5;6908
361;447;6909
355,5;449,5;6910
350;453,5;6911
347,5;454,5;6912
342,5;458;6913
338,5;458;6914
330;460;6915
325;462;6916
317;462;6917
310,5;462;6918
307;460,5;6919
298,5;461;6920
292,5;463,5;6921
283,5;465;6922
274,5;466;6923
266,5;467,5;6924
258,5;469;6925
243;467;6926
236;469;6927
226;469,5;6928
214;471;6929
200;468,5;6930
186,5;466,5;6931
171,5;470,5;6932
153,5;472;6933
135;475,5;6934
118,5;473;6935
95,5;474;6936
74,5;477,5;6937
